games,discipline_raw,venue,date,start,end,event_raw,session_code
Paris 2024,Archery,Invalides,2024-07-25,09:30:00,12:30:00,Women's Individual Ranking Round,ARC01
Paris 2024,Archery,Invalides,2024-07-25,14:15:00,17:15:00,Men's Individual Ranking Round,ARC02
Paris 2024,Archery,Invalides,2024-07-28,09:30:00,11:05:00,Women's Team 1/8 Eliminations,ARC03
Paris 2024,Archery,Invalides,2024-07-28,14:15:00,17:55:00,Women's Team Quarterfinals / Women's Team Semifinals / Women's Team Bronze Medal Match / Women's Team Gold Medal Match,ARC04
Paris 2024,Archery,Invalides,2024-07-29,09:30:00,11:05:00,Men's Team 1/8 Eliminations,ARC05
Paris 2024,Archery,Invalides,2024-07-29,14:15:00,17:55:00,Men's Team Quarterfinals / Men's Team Semifinals / Men's Team Bronze Medal Match / Men's Team Gold Medal Match,ARC06
Paris 2024,Archery,Invalides,2024-07-30,12:00:00,15:55:00,Men's Individual 1/32 Eliminations / Women's Individual 1/32 Eliminations / Men's Individual 1/16 Eliminations / Women's Individual 1/16 Eliminations,ARC07
Paris 2024,Archery,Invalides,2024-07-30,17:45:00,20:25:00,Men's Individual 1/32 Eliminations / Women's Individual 1/32 Eliminations / Men's Individual 1/16 Eliminations / Women's Individual 1/16 Eliminations,ARC08
Paris 2024,Archery,Invalides,2024-07-31,12:00:00,15:55:00,Men's Individual 1/32 Eliminations / Women's Individual 1/32 Eliminations / Men's Individual 1/16 Eliminations / Women's Individual 1/16 Eliminations,ARC09
Paris 2024,Archery,Invalides,2024-07-31,17:45:00,20:25:00,Men's Individual 1/32 Eliminations / Women's Individual 1/32 Eliminations / Men's Individual 1/16 Eliminations / Women's Individual 1/16 Eliminations,ARC10
Paris 2024,Archery,Invalides,2024-08-01,09:30:00,13:25:00,Men's Individual 1/32 Eliminations / Women's Individual 1/32 Eliminations / Men's Individual 1/16 Eliminations / Women's Individual 1/16 Eliminations,ARC11
