date,2024-07-24,2024-07-24,2024-07-25,2024-07-25,2024-07-26,2024-07-26,2024-07-27,2024-07-27,2024-07-28,2024-07-28,2024-07-29,2024-07-29,2024-07-30,2024-07-30,2024-07-31,2024-07-31,2024-08-01,2024-08-01,2024-08-02,2024-08-02,2024-08-03,2024-08-03,2024-08-04,2024-08-04,2024-08-05,2024-08-05,2024-08-06,2024-08-06,2024-08-07,2024-08-07,2024-08-08,2024-08-08,2024-08-09,2024-08-09,2024-08-10,2024-08-10,2024-08-11,2024-08-11
sport,start,end,start,end,start,end,start,end,start,end,start,end,start,end,start,end,start,end,start,end,start,end,start,end,start,end,start,end,start,end,start,end,start,end,start,end,start,end
athletics,,,,,,,,,,,,,,,,,,,10,14,10,16,10,13,10,13,10,13,10,13,10,13,10,13,,,,
athletics,,,,,,,,,,,,,,,,,,,19,22,19,22,19,22,19,22,19,22,19,22,19,22,19,22,19,22,,
archery,,,9.5,12.5,,,,,9.5,11.08333333,9.5,11.08333333,12,15.91666667,12,15.91666667,9.5,13.41666667,9.5,12.08333333,9.5,11.25,9.5,11.25,,,,,,,,,,,,,,
archery,,,14.25,17.25,,,,,14.25,17.91666667,14.25,17.91666667,17.75,20.33333333,17.75,20.33333333,15.5,19.5,14.25,17.41666667,13,15.33333333,13,15.33333333,,,,,,,,,,,,,,
golf,,,,,,,,,,,,,,,,,9,18,9,18,9,18,9,18,,,,,9,18,9,18,9,18,9,18,,
sailing,,,,,,,,,11,19,11,19,11,19,11,19,11,19,11,19,11,19,11,19,11,19,11,19,11,19,11,19,,,,,,
shooting,,,,,,,9,13.25,9,13,9,10,,,9,13,12,16,12,17,9,11,9,17,9,11,,,,,,,,,,,,
shooting,,,,,,,9,12,9,13.5,9,13.5,9,11,,,9,11,9,11,,,,,,,,,,,,,,,,,,
shooting,,,,,,,,,,,9,15.5,9,14.66666667,10,14,,,9,14,9,15.5,9.5,14.5,9,13.5,,,,,,,,,,,,
